tempo,average_pitch,average_onset_strength,spectral_centroid,spectral_rolloff,zero_crossing_rate,album,track
[82.03125],1867.0315,1.1266663,2775.5121221645436,5393.58793258667,0.08060798645019532,...And Out Come The Wolves,As Wicked_preview_30s.wav
[82.03125],1802.7467,1.1059983,2602.7079278091173,5055.701694488525,0.07073764801025391,...And Out Come The Wolves,Avenues & Alleyways_preview_30s.wav
[84.72079918],1657.9218,1.1951965,2463.8031255902856,4868.438529968262,0.06629924774169922,...And Out Come The Wolves,Daly City Train_preview_30s.wav
[87.59269068],1723.984,1.1897837,2490.962340972642,4994.205894470215,0.0630340576171875,...And Out Come The Wolves,Disorder and Disarray_preview_30s.wav
[84.72079918],1831.9655,1.1307768,2805.1566166761586,5433.794460296631,0.07768821716308594,...And Out Come The Wolves,Journey to the End of the East Bay_preview_30s.wav
[83.35433468],1727.5691,1.158169,2767.0954942346434,5487.7788734436035,0.07028179168701172,...And Out Come The Wolves,Junkie Man_preview_30s.wav
[84.72079918],1910.932,1.1198405,2823.950058308512,5424.962482452393,0.08008251190185547,...And Out Come The Wolves,Listed M.I.A._preview_30s.wav
[79.50721154],1701.0067,1.149876,2644.6539538040306,5155.780620574951,0.06910724639892578,...And Out Come The Wolves,"Lock, Step & Gone_preview_30s.wav"
[156.60511364],1796.8542,1.1967461,2677.3209378204215,5205.391101837158,0.07434539794921875,...And Out Come The Wolves,Maxwell Murder_preview_30s.wav
[84.72079918],1599.3712,1.1932127,2588.37791670517,5332.243537902832,0.0617156982421875,...And Out Come The Wolves,Old Friend_preview_30s.wav
[83.35433468],1841.5698,1.1394675,2901.44349529805,5691.957378387451,0.08362712860107421,...And Out Come The Wolves,"Olympia, WA_preview_30s.wav"
[80.74951172],1975.4504,1.1318874,2808.886916233503,5195.532932281494,0.09011783599853515,...And Out Come The Wolves,Roots Radical_preview_30s.wav
[161.49902344],1913.723,1.1588304,3069.95945200848,6041.367244720459,0.08276100158691406,...And Out Come The Wolves,Ruby Soho_preview_30s.wav
[84.72079918],1887.0641,1.154402,2657.285869683123,4930.279197692871,0.08093814849853516,...And Out Come The Wolves,She's Automatic_preview_30s.wav
[84.72079918],1775.6642,1.1607578,2731.978883847177,5467.944774627686,0.07836246490478516,...And Out Come The Wolves,The 11th Hour_preview_30s.wav
[86.1328125],1910.3507,1.0757874,3180.4376004851065,6316.066989898682,0.09245567321777344,...And Out Come The Wolves,The Wars End_preview_30s.wav
[139.67483108],1885.911,1.1446272,2759.2024093911286,5186.171035766602,0.07929973602294922,...And Out Come The Wolves,The Way I Feel_preview_30s.wav
[166.70866935],1431.464,1.2806656,1943.7438031567967,3940.323829650879,0.04907150268554687,...And Out Come The Wolves,Time Bomb_preview_30s.wav
[84.72079918],1874.9564,1.1300864,3003.522305300138,6046.910362243652,0.08663692474365234,...And Out Come The Wolves,You Don't Care Nothin'_preview_30s.wav
[103.359375],1700.4092,1.2585895,3568.2289970639263,7435.877666473389,0.09572410583496094,...Baby One More Time (Digital Deluxe Version),(You Drive Me) Crazy_preview_30s.wav
[117.45383523],1800.9403,1.3330586,4023.441186787439,8147.482738494873,0.11429004669189453,...Baby One More Time (Digital Deluxe Version),...Baby One More Time - Boy Wunder Radio Mix_preview_30s.wav
